"Spectral Type" "B-V color" "U-B color" "Mv Absolute V magnitude" "Teff (Effective Temperature)" "log(T) = log10(effective temperature)" "BC_V (V-band bolometric correction)" "M_bol = Absolute Bolometric Magnitude (Sun's M_bol = 4.74)" "log(L/Lsun) [i.e. Sun has log(L/Lsun) = 0!]"
O3V -0.32 -1.22 -5.7 46000 4.663 -4.05 -9.75 5.8
O4V -0.32 -1.2 -5.5 43000 4.633 -3.92 -9.42 5.67
O5V -0.32 -1.19 -5.4 41500 4.618 -3.77 -9.2 5.58
O5.5V -0.32 -1.18 -5.2 40000 4.602 -3.65 -8.9 5.46
O6V -0.32 -1.17 -5.1 39000 4.591 -3.57 -8.67 5.37
O6.5V -0.32 -1.16 -4.9 37300 4.573 -3.45 -8.35 5.24
O7V -0.32 -1.15 -4.8 36500 4.562 -3.38 -8.18 5.17
O7.5V -0.32 -1.14 -4.6 35000 4.544 -3.26 -7.87 5.05
O8V -0.32 -1.13 -4.5 34500 4.538 -3.22 -7.72 4.99
O8.5V -0.32 -1.12 -4.3 33000 4.519 -3.13 -7.43 4.87
O9V -0.318 -1.114 -4.2 32500 4.512 -3.09 -7.29 4.82
O9.5V -0.312 -1.087 -4.1 32000 4.505 -3.05 -7.15 4.76
B0V -0.307 -1.067 -4.0 31500 4.498 -3.02 -6.79 4.65
B0.5V -0.295 -1.026 -3.6 29000 4.462 -2.87 -6.43 4.47
B1V -0.278 -0.995 -3.1 26000 4.415 -2.61 -5.68 4.13
B1.5V -0.252 -0.91 -2.8 24500 4.389 -2.43 -5.24 3.89
B2V -0.21 -0.79 -1.7 20600 4.314 -2.06 -3.71 3.38
B2.5V -0.198 -0.732 -1.4 18500 4.267 -1.79 -3.15 3.1
B3V -0.178 -0.673 -1.1 17000 4.23 -1.58 -2.64 2.96
B4V -0.165 -0.619 -1.0 16700 4.223 -1.53 -2.52 2.91
B5V -0.156 -0.581 -0.9 15700 4.196 -1.35 -2.25 2.8
B6V -0.14 -0.504 -0.5 14500 4.161 -1.16 -1.66 2.54
B7V -0.128 -0.459 -0.4 14000 4.146 -1.07 -1.47 2.49
B8V -0.109 -0.364 -0.2 12500 4.097 -0.81 -0.91 2.27
B9V -0.07 -0.2 0.7 10700 4.029 -0.42 0.28 1.79
B9.5V -0.05 -0.13 0.8 10400 4.017 -0.38 0.44 1.73
A0V 0.0 -0.005 1.11 9700 3.987 -0.24 0.87 1.54
A1V 0.043 0.033 1.34 9200 3.965 -0.15 1.19 1.41
A2V 0.074 0.063 1.48 8840 3.946 -0.1 1.38 1.33
A3V 0.09 0.077 1.55 8550 3.932 -0.06 1.49 1.29
A4V 0.14 0.097 1.76 8270 3.917 -0.04 1.72 1.2
A5V 0.16 0.1 1.84 8080 3.907 -0.03 1.81 1.16
A6V 0.17 0.098 1.89 8000 3.903 -0.02 1.87 1.14
A7V 0.21 0.091 2.07 7800 3.892 0.0 2.07 1.06
A8V 0.25 0.082 2.29 7500 3.874 0.0 2.29 0.97
A9V 0.255 0.08 2.3 7440 3.872 0.0 2.3 0.97
F0V 0.294 0.053 2.51 7200 3.857 -0.01 2.5 0.89
F1V 0.334 0.021 2.79 7030 3.847 -0.01 2.78 0.77
F2V 0.374 -0.008 2.99 6810 3.833 -0.02 3.97 0.7
F3V 0.389 -0.016 3.08 6720 3.827 -0.03 3.05 0.67
F4V 0.412 -0.026 3.23 6640 3.822 -0.04 3.19 0.61
F5V 0.438 -0.029 3.4 6510 3.814 -0.04 3.36 0.54
F6V 0.484 -0.021 3.7 6340 3.802 -0.05 3.65 0.43
F7V 0.51 -0.012 3.87 6240 3.795 -0.06 3.81 0.36
F8V 0.53 0.001 4.01 6150 3.789 -0.07 3.94 0.31
F9V 0.552 0.014 4.15 6040 3.781 -0.08 4.07 0.26
G0V 0.588 0.049 4.39 5920 3.772 -0.09 4.3 0.17
G1V 0.604 0.067 4.5 5880 3.769 -0.1 4.4 0.13
G2V* 0.65 0.133 4.79 5770 3.761 -0.11 4.68 0.01
G3V 0.661 0.152 4.86 5720 3.757 -0.12 4.74 -0.01
G4V 0.674 0.175 4.94 5680 3.754 -0.13 4.8 -0.04
G5V 0.68 0.185 4.98 5660 3.753 -0.13 4.84 -0.05
G6V 0.704 0.227 5.13 5590 3.747 -0.15 4.98 -0.11
G7V 0.713 0.243 5.18 5530 3.743 -0.16 5.02 -0.12
G8V 0.737 0.284 5.32 5490 3.734 -0.17 5.15 -0.17
G9V 0.777 0.358 5.55 5340 3.728 -0.21 5.34 -0.25
K0V 0.816 0.436 5.76 5280 3.723 -0.22 5.54 -0.33
K1V 0.847 0.502 5.91 5170 3.713 -0.26 5.65 -0.37
K2V 0.893 0.6 6.19 5040 3.706 -0.29 5.88 -0.47
K3V 0.99 0.801 6.57 4840 3.685 -0.41 6.16 -0.58
K4V 1.1 1.004 7.04 4620 3.665 -0.55 6.48 -0.71
K5V 1.134 1.056 7.25 4450 3.648 -0.67 6.58 -0.75
K6V 1.257 1.199 7.88 4200 3.623 -0.86 7.07 -0.92
K7V 1.336 1.222 8.3 4050 3.607 -1.0 7.3 -1.04
K8V 1.382 1.213 8.6 3970 3.599 -1.11 7.52 -1.12
